,Province_State,Confirmed,Deaths,Recovered,Active,ISO3,Date
10045,Florida,7516906,86294,,,USA,
10046,Georgia,3061485,42332,,,USA,
10047,Grand Princess,103,3,,,USA,
10048,Guam,60982,420,,,GUM,
10049,Hawaii,379100,1822,,,USA,
10050,Idaho,518431,5393,,,USA,
10051,Illinois,4062200,41379,,,USA,
10052,Indiana,2043069,26045,,,USA,
10053,Iowa,900343,10671,,,USA,
10054,Kansas,934531,10034,,,USA,
10055,Kentucky,1713220,18094,,,USA,
10056,Louisiana,1566105,18706,,,USA,
10057,Maine,315068,2917,,,USA,
10058,Maryland,1360696,16458,,,USA,
10059,Massachusetts,2216870,24131,,,USA,
10060,Michigan,3049739,41957,,,USA,
10061,Minnesota,1770117,14766,,,USA,
10062,Mississippi,987105,13320,,,USA,
10063,Missouri,1770462,22760,,,USA,
10064,Montana,328668,3651,,,USA,
10065,Nebraska,564355,4879,,,USA,
10066,Nevada,887801,11911,,,USA,
10067,New Hampshire,377427,2993,,,USA,
10068,New Jersey,3041017,35956,,,USA,
10069,New Mexico,669109,9026,,,USA,
10070,New York,6780236,76986,,,USA,
10071,North Carolina,3459600,28346,,,USA,
10072,North Dakota,286624,2463,,,USA,
10073,Northern Mariana Islands,13631,41,,,MNP,
10074,Ohio,3382995,41749,,,USA,
10075,Oklahoma,1284450,17887,,,USA,
10076,Oregon,959393,9335,,,USA,
10077,Pennsylvania,3512545,50168,,,USA,
10078,Puerto Rico,1098182,5791,,,PRI,
10079,Rhode Island,459256,3860,,,USA,
10080,South Carolina,1827620,19490,,,USA,
10081,South Dakota,277651,3175,,,USA,
10082,Tennessee,2511387,29228,,,USA,
10083,Texas,8435431,93166,,,USA,
10084,Utah,1087149,5276,,,USA,
10085,Vermont,151477,910,,,USA,
10086,Virgin Islands,24764,130,,,VIR,
10087,Virginia,2282206,23630,,,USA,
10088,Washington,1924418,15622,,,USA,
10089,West Virginia,639246,7926,,,USA,
10090,Wisconsin,2000112,16305,,,USA,
10091,Wyoming,184816,1998,,,USA,
10092,Alabama,493252,9929,285130.0,198193.0,USA,28.02.2021
10093,Alaska,58296,290,,,USA,28.02.2021
10094,American Samoa,0,0,,,ASM,28.02.2021
10095,Arizona,816782,15980,,,USA,28.02.2021
10096,Arkansas,322415,5243,312758.0,4414.0,USA,28.02.2021
10097,California,3626627,52179,,,USA,28.02.2021
10098,Colorado,444258,6074,,,USA,28.02.2021
10099,Connecticut,279946,7622,,,USA,28.02.2021
10100,Delaware,86799,1422,,,USA,28.02.2021
10101,Diamond Princess,49,0,,,USA,28.02.2021
10102,District of Columbia,40598,1017,28881.0,10700.0,USA,28.02.2021
10103,Florida,1909221,30852,,,USA,28.02.2021
10104,Georgia,1006521,17295,,,USA,28.02.2021
10105,Grand Princess,103,3,,,USA,28.02.2021
10106,Guam,7734,130,7564.0,40.0,GUM,28.02.2021
10107,Hawaii,28380,439,,,USA,28.02.2021
10108,Idaho,171140,1860,94230.0,75050.0,USA,28.02.2021
10109,Illinois,1186696,22735,,,USA,28.02.2021
10110,Indiana,661673,12573,,,USA,28.02.2021
10111,Iowa,336465,5471,315134.0,15860.0,USA,28.02.2021
10112,Kansas,295631,4730,,,USA,28.02.2021
10113,Kentucky,404622,4637,47544.0,352441.0,USA,28.02.2021
10114,Louisiana,430100,9608,408463.0,12029.0,USA,28.02.2021
10115,Maine,44635,703,12800.0,31132.0,USA,28.02.2021
10116,Maryland,382099,7869,9667.0,364563.0,USA,28.02.2021
10117,Massachusetts,581148,13352,494740.0,70290.0,USA,28.02.2021
10118,Michigan,645550,16508,541258.0,87784.0,USA,28.02.2021
10119,Minnesota,484594,6551,470819.0,7224.0,USA,28.02.2021
10120,Mississippi,294795,6681,273437.0,14677.0,USA,28.02.2021
10121,Missouri,562920,8281,,,USA,28.02.2021
10122,Montana,99954,1357,96982.0,1615.0,USA,28.02.2021
10123,Nebraska,200882,2082,154909.0,43891.0,USA,28.02.2021
10124,Nevada,293754,4957,,,USA,28.02.2021
10125,New Hampshire,75424,1170,71722.0,2532.0,USA,28.02.2021
10126,New Jersey,789356,23252,,,USA,28.02.2021
10127,New Mexico,185132,3716,146013.0,35403.0,USA,28.02.2021
10128,New York,1643867,47417,,,USA,28.02.2021
10129,North Carolina,858548,11212,,,USA,28.02.2021
10130,North Dakota,99630,1475,97759.0,575.0,USA,28.02.2021
10131,Northern Mariana Islands,143,2,29.0,112.0,MNP,28.02.2021
10132,Ohio,967422,18691,909524.0,39204.0,USA,28.02.2021
10133,Oklahoma,425557,4428,407312.0,13817.0,USA,28.02.2021
10134,Oregon,155597,2208,,,USA,28.02.2021
10135,Pennsylvania,939627,23995,836727.0,78905.0,USA,28.02.2021
10136,Puerto Rico,100297,2036,90896.0,7365.0,PRI,28.02.2021
10137,Rhode Island,125622,2502,,,USA,28.02.2021
10138,South Carolina,516823,8546,230793.0,277484.0,USA,28.02.2021
10139,South Dakota,112427,1888,108606.0,1933.0,USA,28.02.2021
10140,Tennessee,768656,11411,749863.0,7807.0,USA,28.02.2021
10141,Texas,2694033,43790,2422369.0,225268.0,USA,28.02.2021
10142,Utah,371235,1935,352303.0,16997.0,USA,28.02.2021
10143,Vermont,15198,204,12532.0,2462.0,USA,28.02.2021
10144,Virgin Islands,2646,25,2511.0,110.0,VIR,28.02.2021
10145,Virginia,576050,8552,,,USA,28.02.2021
10146,Washington,339773,4956,,,USA,28.02.2021
10147,West Virginia,131855,2300,121797.0,7758.0,USA,28.02.2021
10148,Wisconsin,617367,7014,549668.0,60685.0,USA,28.02.2021
10149,Wyoming,54394,671,53132.0,591.0,USA,28.02.2021
10150,Alabama,1279565,18225,,,USA,28.02.2022
10151,Alaska,239494,1163,,,USA,28.02.2022
10152,American Samoa,84,0,,,ASM,28.02.2022
10153,Arizona,1976890,27946,,,USA,28.02.2022
10154,Arkansas,819984,10524,,,USA,28.02.2022
10155,California,8982079,85397,,,USA,28.02.2022
10156,Colorado,1409679,12381,,,USA,28.02.2022
10157,Connecticut,723389,10470,,,USA,28.02.2022
10158,Delaware,256621,2709,,,USA,28.02.2022
10159,Diamond Princess,49,0,,,USA,28.02.2022
10160,District of Columbia,134564,1318,,,USA,28.02.2022
10161,Florida,5844096,70084,,,USA,28.02.2022
10162,Georgia,2465056,35415,,,USA,28.02.2022
10163,Grand Princess,103,3,,,USA,28.02.2022
10164,Guam,44344,322,,,GUM,28.02.2022
10165,Hawaii,236151,1334,,,USA,28.02.2022
10166,Idaho,426164,4751,,,USA,28.02.2022
10167,Illinois,3031223,36901,,,USA,28.02.2022
10168,Indiana,1681685,22843,,,USA,28.02.2022
10169,Iowa,748849,9085,,,USA,28.02.2022
