PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Indiana,1278285,19084,,,USA,03.01.2022
Iowa,575501,7858,,,USA,03.01.2022
Kansas,534219,7049,,,USA,03.01.2022
Kentucky,879057,12234,,,USA,03.01.2022
Louisiana,859856,15001,,,USA,03.01.2022
Maine,146736,1531,,,USA,03.01.2022
Maryland,761924,11896,,,USA,03.01.2022
Massachusetts,1173704,16744,,,USA,03.01.2022
Michigan,1775882,29343,,,USA,03.01.2022
Minnesota,1028986,10704,,,USA,03.01.2022
Mississippi,561262,10455,,,USA,03.01.2022
Missouri,1021433,16237,,,USA,03.01.2022
Montana,198520,2908,,,USA,03.01.2022
Nebraska,344392,3338,,,USA,03.01.2022
Nevada,497084,8427,,,USA,03.01.2022
New Hampshire,203749,1973,,,USA,03.01.2022
New Jersey,1644839,29073,,,USA,03.01.2022
New Mexico,357480,5866,,,USA,03.01.2022
New York,3684152,59760,,,USA,03.01.2022
North Carolina,1732568,19457,,,USA,03.01.2022
North Dakota,176051,2057,,,USA,03.01.2022
Northern Mariana Islands,3297,17,,,MNP,03.01.2022
Ohio,2072663,32293,,,USA,03.01.2022
Oklahoma,716851,12503,,,USA,03.01.2022
Oregon,430931,5666,,,USA,03.01.2022
Pennsylvania,2101019,36799,,,USA,03.01.2022
Puerto Rico,303533,3314,,,PRI,03.01.2022
Rhode Island,231096,3066,,,USA,03.01.2022
South Carolina,975320,14636,,,USA,03.01.2022
South Dakota,179983,2494,,,USA,03.01.2022
Tennessee,1460513,20833,,,USA,03.01.2022
Texas,4795121,75917,,,USA,03.01.2022
Utah,651746,3804,,,USA,03.01.2022
Vermont,67226,480,,,USA,03.01.2022
Virgin Islands,10290,89,,,VIR,03.01.2022
Virginia,1158764,15615,,,USA,03.01.2022
Washington,882144,9853,,,USA,03.01.2022
West Virginia,337326,5356,,,USA,03.01.2022
Wisconsin,1132356,11185,,,USA,03.01.2022
Wyoming,116643,1526,,,USA,03.01.2022
Alabama,1568934,20737,,,USA,
Alaska,301803,1455,,,USA,
American Samoa,8266,34,,,ASM,
Arizona,2378334,32182,,,USA,
Arkansas,986287,12695,,,USA,
California,11843445,98603,,,USA,
Colorado,1736494,13888,,,USA,
Connecticut,950046,11781,,,USA,
Delaware,321888,3206,,,USA,
Diamond Princess,49,0,,,USA,
District of Columbia,173386,1411,,,USA,
Florida,7338503,83906,,,USA,
Georgia,2985193,41417,,,USA,
Grand Princess,103,3,,,USA,
Guam,60087,411,,,GUM,
Hawaii,372198,1761,,,USA,
Idaho,511601,5316,,,USA,
Illinois,3974859,40702,,,USA,
Indiana,2002760,25364,,,USA,
Iowa,886411,10424,,,USA,
Kansas,917086,9717,,,USA,
Kentucky,1667275,17694,,,USA,
Louisiana,1514113,18370,,,USA,
Maine,306647,2790,,,USA,
Maryland,1319516,15973,,,USA,
Massachusetts,2154886,22940,,,USA,
Michigan,2998447,40836,,,USA,
Minnesota,1736893,14320,,,USA,
Mississippi,960923,13112,,,USA,
Missouri,1739036,22280,,,USA,
Montana,323055,3621,,,USA,
Nebraska,555114,4685,,,USA,
Nevada,876118,11751,,,USA,
New Hampshire,368507,2859,,,USA,
New Jersey,2937115,35531,,,USA,
New Mexico,659888,8815,,,USA,
New York,6592429,75211,,,USA,
North Carolina,3316814,27629,,,USA,
North Dakota,280958,2427,,,USA,
Northern Mariana Islands,13319,41,,,MNP,
Ohio,3307568,41290,,,USA,
Oklahoma,1250013,17412,,,USA,
Oregon,939303,8962,,,USA,
Pennsylvania,3416848,48892,,,USA,
Puerto Rico,1056389,5547,,,PRI,
Rhode Island,443645,3770,,,USA,
South Carolina,1770059,18834,,,USA,
South Dakota,271856,3118,,,USA,
Tennessee,2444186,28620,,,USA,
Texas,8212461,91599,,,USA,
Utah,1074828,5187,,,USA,
Vermont,148393,791,,,USA,
Virgin Islands,23781,127,,,VIR,
Virginia,2211948,22686,,,USA,
Washington,1883676,15038,,,USA,
West Virginia,626123,7672,,,USA,
Wisconsin,1963759,15807,,,USA,
Wyoming,183151,1958,,,USA,
Alabama,374095,4878,202137.0,167080.0,USA,04.01.2021
Alaska,48382,218,7165.0,40999.0,USA,04.01.2021
American Samoa,0,0,,,ASM,04.01.2021
Arizona,561542,9064,79480.0,472998.0,USA,04.01.2021
Arkansas,234781,3800,207898.0,23083.0,USA,04.01.2021
California,2549560,26940,,,USA,04.01.2021
Colorado,370153,5503,18403.0,320088.0,USA,04.01.2021
Connecticut,194636,6168,9800.0,178668.0,USA,04.01.2021
Delaware,60333,1085,18851.0,40397.0,USA,04.01.2021
Diamond Princess,49,0,,,USA,04.01.2021
District of Columbia,29904,797,21127.0,7980.0,USA,04.01.2021
Florida,1376692,22090,,,USA,04.01.2021
Georgia,696063,10971,,,USA,04.01.2021
Grand Princess,103,3,,,USA,04.01.2021
Guam,7344,122,7089.0,133.0,GUM,04.01.2021
Hawaii,22602,289,11958.0,10355.0,USA,04.01.2021
Idaho,143305,1459,60820.0,81026.0,USA,04.01.2021
Illinois,984880,18412,,,USA,04.01.2021
Indiana,529688,9735,351569.0,168384.0,USA,04.01.2021
Iowa,286356,3992,244677.0,37687.0,USA,04.01.2021
Kansas,233702,2911,4643.0,226515.0,USA,04.01.2021
Kentucky,279142,2749,37455.0,238938.0,USA,04.01.2021
Louisiana,322181,7585,263712.0,50884.0,USA,04.01.2021
Maine,25967,361,11548.0,14058.0,USA,04.01.2021
Maryland,287802,6027,9383.0,272392.0,USA,04.01.2021
Massachusetts,392568,10739,261672.0,118225.0,USA,04.01.2021
Michigan,543611,13391,363611.0,166609.0,USA,04.01.2021
Minnesota,423688,5502,405556.0,12630.0,USA,04.01.2021
Mississippi,223677,4884,182103.0,36690.0,USA,04.01.2021
Missouri,454015,5772,,,USA,04.01.2021
Montana,82664,975,76633.0,5056.0,USA,04.01.2021
Nebraska,169585,1682,112856.0,55047.0,USA,04.01.2021
Nevada,233032,3206,,,USA,04.01.2021
